DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
2021.01.27,09:00:00,147550,147580,142100,144500,2211,2041573,0,2021-01-27 09:00:00
2021.01.27,09:05:00,144550,144900,141130,141340,2316,1318898,10,2021-01-27 09:05:00
2021.01.27,09:10:00,141340,143000,141100,142250,1989,1180924,10,2021-01-27 09:10:00
2021.01.27,09:15:00,142230,144980,142140,143020,2307,1970316,10,2021-01-27 09:15:00
2021.01.27,09:20:00,143290,150930,143010,150500,4395,4498018,10,2021-01-27 09:20:00
2021.01.27,09:25:00,150500,157200,150000,154200,6656,5932250,10,2021-01-27 09:25:00
2021.01.27,09:30:00,154800,155500,152040,154000,3695,2731681,10,2021-01-27 09:30:00
2021.01.27,09:35:00,154110,154110,148000,148800,3119,2589187,10,2021-01-27 09:35:00
2021.01.27,09:40:00,148800,151600,148000,149200,2547,2264089,10,2021-01-27 09:40:00
2021.01.27,09:45:00,149200,150000,146100,149200,1955,1383749,10,2021-01-27 09:45:00
2021.01.27,09:50:00,149280,151000,147800,150290,1911,1630984,10,2021-01-27 09:50:00
2021.01.27,09:55:00,150400,152500,149900,151000,1973,1676160,10,2021-01-27 09:55:00
2021.01.27,10:00:00,151000,151890,149900,150510,1481,1306508,10,2021-01-27 10:00:00
2021.01.27,10:05:00,150600,151300,149600,149600,1167,997132,10,2021-01-27 10:05:00
2021.01.27,10:10:00,149600,150900,149580,150400,852,583475,10,2021-01-27 10:10:00
2021.01.27,10:15:00,150490,151150,150110,150900,988,924332,10,2021-01-27 10:15:00
2021.01.27,10:20:00,150950,152000,150550,151880,1227,936621,10,2021-01-27 10:20:00
2021.01.27,10:25:00,152000,154900,151880,154000,3034,2714132,10,2021-01-27 10:25:00
2021.01.27,10:30:00,154200,157180,153900,155090,4760,4218636,10,2021-01-27 10:30:00
2021.01.27,10:35:00,155010,157200,154200,157200,2839,2504123,10,2021-01-27 10:35:00
2021.01.27,10:40:00,157200,158000,156300,156790,2640,2135676,10,2021-01-27 10:40:00
2021.01.27,10:45:00,156790,156900,154610,155000,2035,1805893,10,2021-01-27 10:45:00
2021.01.27,10:50:00,155000,156000,154650,155100,1292,869763,10,2021-01-27 10:50:00
2021.01.27,10:55:00,155190,155700,154900,155070,1354,726285,10,2021-01-27 10:55:00
2021.01.27,11:00:00,155070,155280,153500,153500,1682,1200923,10,2021-01-27 11:00:00
2021.01.27,11:05:00,153500,154400,151800,151800,2047,1418012,10,2021-01-27 11:05:00
2021.01.27,11:10:00,151800,153900,151000,153020,1792,1337390,10,2021-01-27 11:10:00
2021.01.27,11:15:00,153020,153660,152000,152990,1058,667134,10,2021-01-27 11:15:00
2021.01.27,11:20:00,152900,153190,152000,152000,1222,910413,10,2021-01-27 11:20:00
2021.01.27,11:25:00,152000,152030,151300,151700,1350,748085,10,2021-01-27 11:25:00
2021.01.27,11:30:00,151700,152710,151660,152370,1139,880640,10,2021-01-27 11:30:00
2021.01.27,11:35:00,152300,152710,152010,152710,934,567488,10,2021-01-27 11:35:00
2021.01.27,11:40:00,152710,153410,152200,152330,1171,963895,10,2021-01-27 11:40:00
2021.01.27,11:45:00,152330,153000,152330,152450,868,613779,10,2021-01-27 11:45:00
2021.01.27,11:50:00,152450,152500,152120,152370,816,476618,10,2021-01-27 11:50:00
2021.01.27,11:55:00,152370,152390,151440,151480,1063,651226,10,2021-01-27 11:55:00
2021.01.27,12:00:00,151440,151550,150500,151210,1464,924099,10,2021-01-27 12:00:00
2021.01.27,12:05:00,151300,151500,150800,150800,925,476346,10,2021-01-27 12:05:00
2021.01.27,12:10:00,150800,151220,150500,151030,1194,693163,10,2021-01-27 12:10:00
2021.01.27,12:15:00,151030,151150,150010,150700,1460,735637,10,2021-01-27 12:15:00
2021.01.27,12:20:00,150710,151000,148800,149800,2449,1481696,10,2021-01-27 12:20:00
2021.01.27,12:25:00,149800,150550,149510,150120,2705,2097903,10,2021-01-27 12:25:00
2021.01.27,12:30:00,150120,150120,150120,150120,1,1314,0,2021-01-27 12:30:00
2021.01.30,09:00:00,154770,159500,154720,156700,2125,2296738,0,2021-01-30 09:00:00
2021.01.30,09:05:00,156730,159480,155410,158100,3729,3675052,10,2021-01-30 09:05:00
2021.01.30,09:10:00,158100,159970,157500,159970,2788,2246659,10,2021-01-30 09:10:00
2021.01.30,09:15:00,159980,162550,159930,162550,4244,3367195,10,2021-01-30 09:15:00
2021.01.30,09:20:00,162550,162730,160010,161220,2535,1742009,10,2021-01-30 09:20:00
