DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
2020.12.12,09:00:00,192100,192260,191200,191200,950,423623,10,2020-12-12 09:00:00
2020.12.12,09:05:00,191200,191890,190200,191550,1683,546315,10,2020-12-12 09:05:00
2020.12.12,09:10:00,191650,191900,190000,190200,1604,623773,10,2020-12-12 09:10:00
2020.12.12,09:15:00,190210,190250,189500,189500,1937,717436,10,2020-12-12 09:15:00
2020.12.12,09:20:00,189500,189710,188600,189600,1732,605249,10,2020-12-12 09:20:00
2020.12.12,09:25:00,189600,189700,189050,189580,1192,415720,10,2020-12-12 09:25:00
2020.12.12,09:30:00,189580,190000,189560,189990,1197,402258,10,2020-12-12 09:30:00
2020.12.12,09:35:00,190000,191050,189990,191050,1353,650069,10,2020-12-12 09:35:00
2020.12.12,09:40:00,191060,191320,190190,190350,1191,583430,10,2020-12-12 09:40:00
2020.12.12,09:45:00,190350,190700,189950,189990,1001,342190,10,2020-12-12 09:45:00
2020.12.12,09:50:00,189990,189990,189510,189700,1086,301565,10,2020-12-12 09:50:00
2020.12.12,09:55:00,189700,190550,189500,190520,1035,364118,10,2020-12-12 09:55:00
2020.12.12,10:00:00,190600,190940,190200,190340,888,301634,10,2020-12-12 10:00:00
2020.12.12,10:05:00,190340,190520,190100,190400,980,334583,10,2020-12-12 10:05:00
2020.12.12,10:10:00,190400,190400,190020,190050,702,219854,10,2020-12-12 10:10:00
2020.12.12,10:15:00,190080,190080,189660,189660,1037,272968,10,2020-12-12 10:15:00
2020.12.12,10:20:00,189660,190020,189500,190000,973,280698,10,2020-12-12 10:20:00
2020.12.12,10:25:00,190000,190010,189650,189650,714,227242,10,2020-12-12 10:25:00
2020.12.12,10:30:00,189650,189930,189520,189570,895,295837,10,2020-12-12 10:30:00
2020.12.12,10:35:00,189590,189800,189520,189530,910,274607,10,2020-12-12 10:35:00
2020.12.12,10:40:00,189530,189540,188740,188800,1540,395040,10,2020-12-12 10:40:00
2020.12.12,10:45:00,188800,189000,188800,188900,1023,358808,10,2020-12-12 10:45:00
2020.12.12,10:50:00,188900,188950,188800,188800,928,194025,10,2020-12-12 10:50:00
2020.12.12,10:55:00,188800,188800,188440,188490,1387,315439,10,2020-12-12 10:55:00
2020.12.12,11:00:00,188490,188500,188010,188030,999,271130,10,2020-12-12 11:00:00
2020.12.12,11:05:00,188030,188220,187990,187990,1777,546566,10,2020-12-12 11:05:00
2020.12.12,11:10:00,187990,188200,187980,188090,993,360683,10,2020-12-12 11:10:00
2020.12.12,11:15:00,188080,188180,188060,188110,868,208110,10,2020-12-12 11:15:00
2020.12.12,11:20:00,188110,188270,188100,188270,875,260358,10,2020-12-12 11:20:00
2020.12.12,11:25:00,188240,188270,188190,188210,793,186382,10,2020-12-12 11:25:00
2020.12.12,11:30:00,188200,188210,187990,188010,1314,335486,10,2020-12-12 11:30:00
2020.12.12,11:35:00,188010,188060,187440,187500,1229,328842,10,2020-12-12 11:35:00
2020.12.12,11:40:00,187500,187500,186830,186890,1430,416480,10,2020-12-12 11:40:00
2020.12.12,11:45:00,186890,187400,186880,187150,1072,482799,10,2020-12-12 11:45:00
2020.12.12,11:50:00,187150,188100,187000,187050,1025,468311,10,2020-12-12 11:50:00
2020.12.12,11:55:00,187050,187120,186300,186340,1625,533715,10,2020-12-12 11:55:00
2020.12.12,12:00:00,186340,186340,185800,185800,1715,562002,10,2020-12-12 12:00:00
2020.12.12,12:05:00,185800,185850,185470,185470,1425,407437,10,2020-12-12 12:05:00
2020.12.12,12:10:00,185480,185500,185200,185500,1504,419110,10,2020-12-12 12:10:00
2020.12.12,12:15:00,185500,186150,185500,185600,1484,462659,10,2020-12-12 12:15:00
2020.12.12,12:20:00,185580,185700,185400,185640,1370,402168,10,2020-12-12 12:20:00
2020.12.12,12:25:00,185640,185690,185200,185500,2897,898147,0,2020-12-12 12:25:00
2020.12.13,09:00:00,185790,185790,185600,185600,715,429452,10,2020-12-13 09:00:00
2020.12.13,09:05:00,185600,185670,183200,183900,1440,762318,10,2020-12-13 09:05:00
2020.12.13,09:10:00,183900,185490,183900,185000,1174,579875,10,2020-12-13 09:10:00
2020.12.13,09:15:00,185100,185100,184000,184100,1024,304954,10,2020-12-13 09:15:00
2020.12.13,09:20:00,184100,184190,183620,183700,1035,379826,10,2020-12-13 09:20:00
2020.12.13,09:25:00,183700,183930,183000,183800,1268,545865,10,2020-12-13 09:25:00
2020.12.13,09:30:00,183850,183850,183500,183610,994,485131,10,2020-12-13 09:30:00
2020.12.13,09:35:00,183610,184300,183610,184230,924,292407,10,2020-12-13 09:35:00
2020.12.13,09:40:00,184230,186040,184200,185300,1298,569658,10,2020-12-13 09:40:00
2020.12.13,09:45:00,185300,185350,184380,184700,778,301514,10,2020-12-13 09:45:00
2020.12.13,09:50:00,184700,184800,184370,184390,830,248092,10,2020-12-13 09:50:00
2020.12.13,09:55:00,184370,184750,184000,184690,755,261827,10,2020-12-13 09:55:00
2020.12.13,10:00:00,184690,184710,184500,184560,779,276067,10,2020-12-13 10:00:00
2020.12.13,10:05:00,184560,184570,184320,184380,736,201793,10,2020-12-13 10:05:00
2020.12.13,10:10:00,184370,184380,184000,184020,619,211414,10,2020-12-13 10:10:00
2020.12.13,10:15:00,184020,184200,184010,184100,626,144933,10,2020-12-13 10:15:00
2020.12.13,10:20:00,184100,184140,184010,184080,560,176145,10,2020-12-13 10:20:00
2020.12.13,10:25:00,184060,184100,184000,184000,772,274606,10,2020-12-13 10:25:00
2020.12.13,10:30:00,184020,184020,183500,183510,1123,611216,10,2020-12-13 10:30:00
2020.12.13,10:35:00,183510,183520,182950,182950,1793,747008,10,2020-12-13 10:35:00
2020.12.13,10:40:00,182970,183040,182850,182880,964,476366,10,2020-12-13 10:40:00
2020.12.13,10:45:00,182810,182810,182490,182700,966,336431,10,2020-12-13 10:45:00
2020.12.13,10:50:00,182700,183000,182580,182920,861,261300,10,2020-12-13 10:50:00
2020.12.13,10:55:00,182920,182920,182560,182680,758,191417,10,2020-12-13 10:55:00
2020.12.13,11:00:00,182680,182900,182600,182900,909,358983,10,2020-12-13 11:00:00
2020.12.13,11:05:00,182900,184190,182850,184190,1135,434235,10,2020-12-13 11:05:00
2020.12.13,11:10:00,184190,184300,184000,184300,1009,380728,10,2020-12-13 11:10:00
2020.12.13,11:15:00,184300,185000,184270,185000,860,331012,10,2020-12-13 11:15:00
2020.12.13,11:20:00,184990,185000,184000,184000,1092,300926,10,2020-12-13 11:20:00
2020.12.13,11:25:00,184000,184260,184000,184110,752,276935,10,2020-12-13 11:25:00
2020.12.13,11:30:00,184110,184860,184090,184860,662,231699,10,2020-12-13 11:30:00
2020.12.13,11:35:00,184860,184900,184460,184500,770,206653,10,2020-12-13 11:35:00
2020.12.13,11:40:00,184500,184500,184000,184060,927,267440,10,2020-12-13 11:40:00
2020.12.13,11:45:00,184060,184190,183760,183800,839,296894,10,2020-12-13 11:45:00
2020.12.13,11:50:00,183800,184200,183800,184120,660,146633,10,2020-12-13 11:50:00
2020.12.13,11:55:00,184180,184190,183990,184050,855,223446,10,2020-12-13 11:55:00
2020.12.13,12:00:00,184010,184520,184010,184500,677,257693,10,2020-12-13 12:00:00
2020.12.13,12:05:00,184520,185000,184350,184650,976,504516,10,2020-12-13 12:05:00
2020.12.13,12:10:00,184700,185090,184530,184790,837,449063,10,2020-12-13 12:10:00
2020.12.13,12:15:00,184790,184960,184110,184420,823,211627,10,2020-12-13 12:15:00
2020.12.13,12:20:00,184420,184430,184080,184190,1119,425421,10,2020-12-13 12:20:00
2020.12.13,12:25:00,184190,184260,184110,184220,1521,705158,0,2020-12-13 12:25:00
2020.12.14,09:00:00,187000,187090,185960,186000,959,606097,10,2020-12-14 09:00:00
